State,District,Route
WEST BENGAL,South 24 Parganas,"Benebow B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Benipur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Benjanharia B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Beonta B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Beramara B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Betberia B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhadura B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhagabatipur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhagabatipur B.O,Mathurapur - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhajna Benepara B.O,Patharpratima Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhalleya B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhangankhali B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhangar (NF) S.O,Bhangar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhangar Chaltaberia B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhangar Gobindapur B.O,Bhangar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhangar Narayanpur B.O,Bhangar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhangar Raghunathpur B.O,Bhangar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bharatgarh B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhateria B.O,Bishnupur - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhatia B.O,Patharpratima Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhawanpur B.O,Mathurapur - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhohalberia B.O,Kulpi Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhojerhat B.O,Bhangar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhubaneswari Bazar B.O,Kultali Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bhubannagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bidyadharpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bijannagar B.O,Kakdwip Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bijoyganj Bazar S.O,Mandirbazar Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bijoynagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Binodpur Ambikanagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bireswarpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Birlapur S.O,Budge Budge - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bishalakshmipur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bishnupur S.O (South 24 Parganas),Bishnupur Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bishra B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Biswanathpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bodra B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Boinchbati B.O,Budge Budge - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Boinchberia B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bonganopara B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Bonhooghly B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Boral S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Boria B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Boria B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Boyargadi B.O,Mathurapur - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Brahmapur S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Brajaballav Pur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Brindakhali B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Budge Budge Natun Bazar S.O,Budge Budge - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Budge Budge S.O. (Hsg-ii) S.O,Budge Budge Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Budhakhali B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Buinta B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Buraburirtat B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Burul B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Canning Town Ferry Ghat S.O,Canning - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Canning Town S.O,Canning - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chaberia B.O,Falta Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chaitanyapur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chak Enayetnagar B.O,Bishnupur - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chak Haturia B.O,Bishnupur - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chak Kashipur B.O,Budge Budge - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chakalampur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chakborali B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chakfuldubi B.O,Sagar Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chakjot Shibrampur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chakparan Katakhali B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chaltaberia B.O,Jaynagar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chaluary B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Champahati S.O,Champahati Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chandandaha B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chandaneswar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chandannagar B.O,Diamond Harbour - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chandanpiri B.O,Namkhana Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chandi B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chandibari B.O,Bhangar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chandipur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chandipur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chandkhali B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chandpala B.O,Falta Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chapla B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Charaghata B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Charashyambati B.O,Budge Budge - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Charashyamdas B.O,Bishnupur - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Charavidya B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chargheri B.O,Gosaba Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chatakalikapur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chatra Maldari B.O,Jaynagar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chemaguri B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chhayani B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chhoto Mollakhali S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chhotrisher Hat B.O,Kultali Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chimta B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chitraganj B.O,Jaynagar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Choto Shyam Nagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chowhati B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chowl Khola B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chunakhali B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Chuprijhara B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Companir Char B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"D.Rajarampur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dahakhanda B.O,Mathurapur - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Daharani B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Alipore B.O,Bishnupur - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Bagi B.O,Bishnupur - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Barasat S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Bijoynagar B.O,Jaynagar - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Chandannagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Chandipur B.O,Kakdwip Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Durgapur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Gangadharpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Gobindapur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Gopalnagar B.O,Kakdwip Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Gouripur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Haradhanpur B.O,Sagar Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Hazi Pur S.O,Diamond Harbour - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Jagadishpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Jagatdal S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Kashiabad B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Kashinagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Mokamberia B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Radhanagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Raipur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Raipur No. 3 B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Rajnagar B.O,Kulpi Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dakshin Shibpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Damkal B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dara B.O,Jaynagar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Daria B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Darikrishna Nagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Daspur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Daudpur Hatkhola B.O,Canning - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Daulatpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dayapur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Debipur B.O,Kultali Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Debnagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Debnibas B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Deulbari B.O,Kultali Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Deuli B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Devisabad B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dewanchak B.O,Jaynagar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dhabahat Shibpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dhalirbati B.O,Canning - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dhalua B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dhamua B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dhanpota B.O,Magrahat - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dhanurhat B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dhanyaghata B.O,Magrahat - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dhapdhapi B.O,Baruipur Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dharmatala Panchuria B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dholahat S.O,Kulpi Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dhopahat Krishnapur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dhosa B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Diamond Harbour CC S.O,Diamond Harbour - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Diamond Harbour H.O,Diamond Harbour - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Diamond Harbour New Town S.O,Diamond Harbour - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Diamond Harbour RS S.O,Diamond Harbour - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Digambarpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Digberia B.O,Mandirbazar Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dighirpar Bazar B.O,Bishnupur - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dihimathurapur Gobindapur B.O,Sagar Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dingelpota B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dodalia B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Doltalaghola B.O,Canning - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Domdoma B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dongajora B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dongaria B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dosatina B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dostapur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Doulatabad B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dulalpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dulki B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Durba Chati B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Durganagar B.O,Kulpi Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Durgapur Baruipur B.O,Baruipur Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Durgapur Takerbazar B.O,Namkhana Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Dwariknagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Enayetpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Fakir Chand College S.O,Diamond Harbour - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Falta S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Fatehpur S.O (South 24 Parganas),Falta Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Fatickpur B.O,Namkhana Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Fokirtakia Sarberiahat B.O,Canning - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Freser Ganj B.O,Namkhana Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Futigoda B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gabberia B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Gabberia Daudpur B.O,Sandeshkhali - II Dist:North 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gandhabaduli B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Ganesh Pur B.O,Gosaba Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Ganeshnagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Ganeshpur 1st Gheri B.O,Kakdwip Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Ganeshpur 4th Gheri B.O,Kakdwip Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Ganeshpur Baikunthapur B.O,Kakdwip Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gangadharpur B.O,Kakdwip Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gangasagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gangrai B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Garia Garden S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Garia S.O (South 24 Parganas),NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gazipur B.O,Kulpi Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gazirmahal Chitamari B.O,Sagar Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Ghatakpur B.O,Magrahat - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Ghateswar S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gheri Keorakhali B.O,Mathurapur - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gheri Raipur B.O,Mathurapur - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Ghoradah B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Ghorahata Mukundapur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Ghoramara Mandirtala B.O,Sagar Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Ghoserpole B.O,Mathurapur - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Ghoshpur B.O,Bhangar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gilarchat B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Giripur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Goalara B.O,Mathurapur - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Goanara Gobindapur B.O,Diamond Harbour - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gobinda Pura Bad B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gobindapur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gocharan B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gokarnee B.O,Magrahat - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Golabari B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gopalganj Hat B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gopalkata B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gopalpurhat B.O,Falta Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gorerhat B.O,Jaynagar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gosaba S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gotalahat Krishnapur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gourdaha B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gumukhberia B.O,Kulpi Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Gurudaspur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Hadia B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Hansuri S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Haradhan Pur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Haranandapur B.O,Bishnupur - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Harbhangi B.O,Canning - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Harendranagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Harinavi S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Harinbari B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Harindanga B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Harinkhola B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Haripur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Haripur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Harishpur Ramnagar B.O,Gosaba Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Hasimnagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Hatuganj S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Heramba Gopalpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Herobhanga B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Hetalkhali B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Hironmoypur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Hotor B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Iim Joka S.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Imamuddipur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Indirapur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Indrapala B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Iswaripur B.O,Bhangar - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Iyarpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jadabpurhat B.O,Mathurapur - I Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jafarpur B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jagannathnagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jahar Colony B.O,Gosaba Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jaharpur B.O,Kakdwip Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jalaberia B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jalghara B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jalkura B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jamira B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jamtala B.O,Kulpi Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Japtala B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jata B.O,Kultali Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jata Jogendranagar B.O,Mathurapur - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jeliabati B.O,Mandirbazar Dist:South 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Jeliakhali Paschimkhanda B.O,Sandeshkhali - II Dist:North 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jharkhali Bazar B.O,Basanti Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jhowkhali B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jibantala B.O,Sagar Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jibantala Sarangabad B.O,Canning - II Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jogendranagar B.O,NA Dist:South 24 Parganas,WB"
WEST BENGAL,South 24 Parganas,"Jogendrapurabad B.O,Patharpratima Dist:South 24 Parganas,WB"
